Label	Average Damage	Average after PDIC	Average Saved
Ahsoka	0,75	0,375	0,375
Anakin	0,9375	0,703125	0,234375
Axe	0,75	0,5625	0,1875
Y-Wing #1	1,25	0,9375	0,3125
Y-Wing #2	1,25	0,9375	0,3125
Y-Wing #3	1,25	0,9375	0,3125
Y-Wing #4	1,25	0,9375	0,3125
Y-Wing #5	1,25	0,9375	0,3125
Y-Wing #6	1,25	0,9375	0,3125
Y-Wing #7	1,25	0,9375	0,3125
TOTAL	11,1875	8,203125	2,984375
