Label	Average Damage	Average after PDIC	Average Saved
Ahsoka	0,75	0,375	0,375
Anakin	0,9375	0,703125	0,234375
Axe	0,75	0,5625	0,1875
Y-Wing #1	1,0	0,75	0,25
Y-Wing #2	1,0	0,75	0,25
Y-Wing #3	1,0	0,75	0,25
Y-Wing #4	1,0	0,75	0,25
Y-Wing #5	1,0	0,75	0,25
Y-Wing #6	1,0	0,75	0,25
Y-Wing #7	1,0	0,75	0,25
TOTAL	9,4375	6,890625	2,546875
