Label	Average Damage	Average after PDIC	Average Saved
Biggs	1,13671875	0,71044921875	0,42626953125
Gold	1,828125	1,58203125	0,24609375
Hera	1,25	0,9375	0,3125
Jan	0,75	0,5625	0,1875
Wedge	1,3125	0,984375	0,328125
X-Wing #1	1,13671875	0,71044921875	0,42626953125
X-Wing #2	1,13671875	0,71044921875	0,42626953125
X-Wing #3	1,13671875	0,71044921875	0,42626953125
TOTAL	9,6875	6,908203125	2,779296875
