Label	Average Damage	Average after PDIC	Average Saved
Biggs	1,03125	0,64453125	0,38671875
Gold	1,5	1,265625	0,234375
Hera	1,0	0,75	0,25
Jan	0,75	0,5625	0,1875
Wedge	1,25	0,9375	0,3125
X-Wing #1	1,03125	0,64453125	0,38671875
X-Wing #2	1,03125	0,64453125	0,38671875
X-Wing #3	1,03125	0,64453125	0,38671875
TOTAL	8,625	6,09375	2,53125
