Label	Average Damage	Average after PDIC	Average Saved
TIE Fighter #1	0,5	0,25	0,25
TIE Fighter #2	0,5	0,25	0,25
TIE Fighter #3	0,5	0,25	0,25
TIE Fighter #4	0,5	0,25	0,25
TIE Fighter #5	0,5	0,25	0,25
TIE Fighter #6	0,5	0,25	0,25
TOTAL	3,0	1,5	1,5
