Label	Average Damage	Average after PDIC	Average Saved
Jan	0,75	0,5625	0,1875
Lando Blue	0,5	0,25	0,25
Lando Red (ability)	2,0	2,0	0,0
Shara Bey	0,75	0,5625	0,1875
Tycho Celchu	0,75	0,5625	0,1875
A-Wing	0,75	0,5625	0,1875
YT-2400 #1	0,75	0,5625	0,1875
YT-2400 #2	0,75	0,5625	0,1875
TOTAL	7,0	5,625	1,375
