Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,984375	0,822021484375	0,822021484375
2	0,890625	0,466064453125	0,466064453125
3	0,65625	0,16943359375	0,16943359375
4	0,34375	0,03759765625	0,03759765625
5	0,109375	0,004638671875	0,004638671875
6	0,015625	0,000244140625	0,000244140625
