Label	Average Damage	Average after PDIC	Average Saved
Han Solo	1,78125	1,32421875	0,45703125
Fenn	1,78125	1,32421875	0,45703125
Gold	1,9453125	1,6962890625	0,2490234375
Ketsu	1,9453125	1,6962890625	0,2490234375
Dutch	1,25	0,9375	0,3125
Lancer-class	1,25	0,9375	0,3125
A-Wing #1	0,9375	0,703125	0,234375
A-Wing #2	0,9375	0,703125	0,234375
TOTAL	11,828125	9,322265625	2,505859375
